Reporting starts,Reporting ends,Campaign,Delivery,Mobile app installs,Mobile app actions,Cost per mobile app install,Cost per mobile app action,Desktop app installs,Desktop app engagement,Cost per desktop app install,Cost per desktop app engagement,Post reactions,Post comments,Post shares
2014-02-21,2018-01-29,1,0,11451,,1.275683346,,,,,,1807,42,133
2015-10-17,2015-10-17,4,inactive,26,,1.269230769,,,,,,91,,
2015-10-18,2015-10-18,4,inactive,30,,1.1,,,,,,71,,
2015-10-19,2015-10-19,4,inactive,17,,0.8823529412,,,,,,27,1,
2015-08-14,2015-08-14,29,inactive,24,,1.375,,,,,,20,,3
2015-09-05,2015-09-05,16,inactive,17,,1.941176471,,,,,,18,,3
2015-09-04,2015-09-04,16,inactive,25,,1.3196,,,,,,18,,2
2015-04-04,2015-04-04,73,inactive,71,,1.427464789,,,,,,18,,1
2015-10-16,2015-10-16,4,inactive,11,,1.062727273,,,,,,17,,
2015-09-07,2015-09-07,16,inactive,16,,2.0625,,,,,,17,,4
2015-09-06,2015-09-06,16,inactive,28,,1.178571429,,,,,,16,,2
2015-10-20,2015-10-20,3,inactive,2,,16.5,,,,,,15,,
2015-10-19,2015-10-19,3,inactive,2,,6.6,,,,,,15,,
2015-09-01,2015-09-01,16,inactive,21,,1.571428571,,,,,,15,,
2015-09-03,2015-09-03,16,inactive,17,,1.941176471,,,,,,14,,
2015-08-31,2015-08-31,16,inactive,33,,1,,,,,,14,,1
2016-01-28,2016-01-28,58,inactive,42,,0.7857142857,,,,,,12,,
2015-09-02,2015-09-02,16,inactive,24,,1.375,,,,,,11,,2
2015-08-30,2015-08-30,16,inactive,13,,2.536923077,,,,,,11,,1
2015-12-20,2015-12-20,58,inactive,39,,0.8461538462,,,,,,11,,
2015-08-16,2015-08-16,29,inactive,27,,1.222222222,,,,,,10,2,2
2016-02-28,2016-02-28,58,inactive,24,,0.6791666667,,,,,,10,,1
2016-02-02,2016-02-02,58,inactive,42,,0.7785714286,,,,,,10,,
2016-01-16,2016-01-16,58,inactive,46,,0.7173913043,,,,,,10,,1
2016-01-11,2016-01-11,58,inactive,44,,0.75,,,,,,10,,
2015-12-13,2015-12-13,58,inactive,44,,0.75,,,,,,10,,
2015-08-17,2015-08-17,29,inactive,28,,1.178571429,,,,,,9,,1
2016-01-09,2016-01-09,58,inactive,48,,0.6875,,,,,,9,,1
2015-12-12,2015-12-12,58,inactive,32,,1.03125,,,,,,9,,
2015-11-18,2015-11-18,58,inactive,51,,0.6470588235,,,,,,9,,1
2015-06-30,2015-06-30,61,inactive,27,,1.549259259,,,,,,9,,
2015-10-07,2015-10-07,72,inactive,67,,0.49,,,,,,9,,1
2015-05-18,2015-05-18,73,inactive,39,,1.156410256,,,,,,9,,2
2015-11-02,2015-11-02,16,inactive,25,,1.32,,,,,,8,,
2015-11-01,2015-11-01,16,inactive,25,,1.32,,,,,,8,,
2015-07-15,2015-07-15,16,inactive,54,,1.502962963,,,,,,8,,
2015-10-26,2015-10-26,29,inactive,12,,2.75,,,,,,8,,
2015-08-27,2015-08-27,29,inactive,21,,1.571428571,,,,,,8,,
2015-08-25,2015-08-25,29,inactive,20,,1.65,,,,,,8,,
2015-12-16,2015-12-16,58,inactive,40,,0.825,,,,,,8,,
2015-09-28,2015-09-28,58,inactive,26,,1.269230769,,,,,,8,2,
2015-09-17,2015-09-17,58,inactive,43,,0.7674418605,,,,,,8,,
2015-07-05,2015-07-05,69,inactive,10,,2.748,,,,,,8,,1
2015-07-02,2015-07-02,61,inactive,13,,2.325384615,,,,,,8,,
2015-04-21,2015-04-21,73,inactive,24,,1.244583333,,,,,,8,,
2015-04-05,2015-04-05,73,inactive,63,,1.655238095,,,,,,8,,
2015-09-10,2015-09-10,17,inactive,24,,1.375,,,,,,7,,
2015-10-30,2015-10-30,29,inactive,17,,1.941176471,,,,,,7,,
2015-08-15,2015-08-15,29,inactive,38,,0.8684210526,,,,,,7,,1
2016-02-06,2016-02-06,58,inactive,41,,0.8034146341,,,,,,7,,
2016-01-27,2016-01-27,58,inactive,35,,0.9405714286,,,,,,7,1,2
2016-01-23,2016-01-23,58,inactive,47,,0.7021276596,,,,,,7,,
2016-01-22,2016-01-22,58,inactive,41,,0.8048780488,,,,,,7,,
2016-01-21,2016-01-21,58,inactive,45,,0.7331111111,,,,,,7,,
2016-01-20,2016-01-20,58,inactive,20,,1.6495,,,,,,7,1,
2016-01-17,2016-01-17,58,inactive,41,,0.8048780488,,,,,,7,1,1
