Reporting starts,Reporting ends,Campaign,Delivery,Mobile app installs,Mobile app actions,Cost per mobile app install,Cost per mobile app action,Desktop app installs,Desktop app engagement,Cost per desktop app install,Cost per desktop app engagement,Post reactions,Post comments,Post shares
2014-02-21,2018-01-29,1,0,11451.0,0.0,1.275683346,0.0,0.0,0.0,0.0,0.0,1807.0,42.0,133.0
2015-10-17,2015-10-17,4,inactive,26.0,0.0,1.269230769,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0
2015-10-18,2015-10-18,4,inactive,30.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0
2015-10-19,2015-10-19,4,inactive,17.0,0.0,0.8823529412,0.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0
2015-08-14,2015-08-14,29,inactive,24.0,0.0,1.375,0.0,0.0,0.0,0.0,0.0,20.0,0.0,3.0
2015-09-05,2015-09-05,16,inactive,17.0,0.0,1.941176471,0.0,0.0,0.0,0.0,0.0,18.0,0.0,3.0
2015-09-04,2015-09-04,16,inactive,25.0,0.0,1.3196,0.0,0.0,0.0,0.0,0.0,18.0,0.0,2.0
2015-04-04,2015-04-04,73,inactive,71.0,0.0,1.427464789,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0
2015-10-16,2015-10-16,4,inactive,11.0,0.0,1.062727273,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0
2015-09-07,2015-09-07,16,inactive,16.0,0.0,2.0625,0.0,0.0,0.0,0.0,0.0,17.0,0.0,4.0
2015-09-06,2015-09-06,16,inactive,28.0,0.0,1.178571429,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0
2015-10-20,2015-10-20,3,inactive,2.0,0.0,16.5,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
2015-10-19,2015-10-19,3,inactive,2.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
2015-09-01,2015-09-01,16,inactive,21.0,0.0,1.571428571,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
2015-09-03,2015-09-03,16,inactive,17.0,0.0,1.941176471,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
2015-08-31,2015-08-31,16,inactive,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0
2016-01-28,2016-01-28,58,inactive,42.0,0.0,0.7857142857,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
2015-09-02,2015-09-02,16,inactive,24.0,0.0,1.375,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0
2015-08-30,2015-08-30,16,inactive,13.0,0.0,2.536923077,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0
2015-12-20,2015-12-20,58,inactive,39.0,0.0,0.8461538462,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
2015-08-16,2015-08-16,29,inactive,27.0,0.0,1.222222222,0.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0
2016-02-28,2016-02-28,58,inactive,24.0,0.0,0.6791666667,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0
2016-02-02,2016-02-02,58,inactive,42.0,0.0,0.7785714286,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2016-01-16,2016-01-16,58,inactive,46.0,0.0,0.7173913043,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0
2016-01-11,2016-01-11,58,inactive,44.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2015-12-13,2015-12-13,58,inactive,44.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2015-08-17,2015-08-17,29,inactive,28.0,0.0,1.178571429,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0
2016-01-09,2016-01-09,58,inactive,48.0,0.0,0.6875,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0
2015-12-12,2015-12-12,58,inactive,32.0,0.0,1.03125,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
2015-11-18,2015-11-18,58,inactive,51.0,0.0,0.6470588235,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0
2015-06-30,2015-06-30,61,inactive,27.0,0.0,1.549259259,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
2015-10-07,2015-10-07,72,inactive,67.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0
2015-05-18,2015-05-18,73,inactive,39.0,0.0,1.156410256,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0
2015-11-02,2015-11-02,16,inactive,25.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
