ID,Year_Birth,Education,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country
1826,1970,Graduation,84835.0,0,0,2014-06-16,0,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,1,0,Spain
1,1961,Graduation,57091.0,0,0,2014-06-15,0,5,64,7,0,37,1,7,3,7,5,0,0,0,0,1,1,0,Canada
10476,1958,Graduation,67267.0,0,1,2014-05-13,0,11,59,15,2,30,1,3,2,5,2,0,0,0,0,0,0,0,USA
1386,1967,Graduation,32474.0,1,1,2014-05-11,0,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,Australia
5371,1989,Graduation,21474.0,1,0,2014-04-08,0,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,1,0,Spain
7348,1958,PhD,71691.0,0,0,2014-03-17,0,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,1,0,Spain
4073,1954,2n Cycle,63564.0,0,0,2014-01-29,0,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,1,0,Germany
1991,1967,Graduation,44931.0,0,1,2014-01-18,0,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,Spain
4047,1954,PhD,65324.0,0,1,2014-01-11,0,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,USA
9477,1954,PhD,65324.0,0,1,2014-01-11,0,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,India
2079,1947,2n Cycle,81044.0,0,0,2013-12-27,0,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,0,0,USA
5642,1979,Master,62499.0,1,0,2013-12-09,0,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,Spain
10530,1959,PhD,67786.0,0,0,2013-12-07,0,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,1,0,India
2964,1981,Graduation,26872.0,0,0,2013-10-16,0,10,8,3,16,32,1,1,1,2,6,0,0,0,0,0,0,0,Canada
10311,1969,Graduation,4428.0,0,1,2013-10-05,0,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,0,Spain
837,1977,Graduation,54809.0,1,1,2013-09-11,0,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,Spain
10521,1977,Graduation,54809.0,1,1,2013-09-11,0,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,1,0,Spain
10175,1958,PhD,32173.0,0,1,2013-08-01,0,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,0,Spain
1473,1960,2n Cycle,47823.0,0,1,2013-07-23,0,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,Canada
2795,1958,Master,30523.0,2,1,2013-07-01,0,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,Canada
2285,1954,Master,36634.0,0,1,2013-05-28,0,9,76,4,3,30,3,5,2,5,7,0,0,0,0,0,0,0,Saudi Arabia
115,1966,Master,43456.0,0,1,2013-03-26,0,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0,India
10470,1979,Master,40662.0,1,0,2013-03-15,0,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,Germany
4065,1976,PhD,49544.0,1,0,2013-02-12,0,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,0,Spain
10968,1969,Graduation,57731.0,0,1,2012-11-23,0,21,300,65,8,44,4,8,8,6,6,0,0,0,0,0,0,0,India
5985,1965,Master,33168.0,0,1,2012-10-13,0,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0,0,Spain
5430,1956,Graduation,54450.0,1,1,2012-09-14,0,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,Spain
8432,1956,Graduation,54450.0,1,1,2012-09-14,0,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,Spain
453,1956,PhD,35340.0,1,1,2014-06-29,1,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,0,0,Spain
9687,1975,Graduation,73170.0,0,0,2014-05-31,1,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0,0,Canada
8890,1971,PhD,65808.0,1,1,2014-05-30,1,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,Spain
9264,1986,Graduation,79529.0,0,0,2014-04-27,1,42,706,73,197,197,1,4,8,9,2,0,0,0,0,0,0,0,Canada
5824,1972,PhD,34578.0,2,1,2014-04-11,1,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0,Australia
5794,1974,PhD,46374.0,0,1,2014-03-17,1,0,21,0,0,17,3,7,1,7,8,0,1,0,1,0,1,0,India
3068,1990,Graduation,18351.0,0,0,2013-10-29,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,Spain
7962,1987,PhD,95169.0,0,0,2013-10-09,1,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,1,0,Spain
2681,1984,2n Cycle,65370.0,0,0,2013-08-01,1,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,0,Spain
10141,1960,Master,39228.0,0,0,2013-05-10,1,1,6,0,3,3,1,0,0,3,4,0,0,0,0,0,0,0,Saudi Arabia
3725,1961,PhD,84865.0,0,0,2013-05-09,1,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,1,0,Spain
3767,1968,Graduation,61314.0,0,1,2013-04-25,1,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,Spain
5585,1972,Graduation,21359.0,1,0,2013-04-20,1,2,17,6,1,10,2,2,0,3,8,0,0,0,0,0,1,0,Canada
7030,1955,PhD,66465.0,0,1,2013-03-30,1,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,0,Spain
1524,1983,2n Cycle,81698.0,0,0,2013-03-01,1,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,1,0,Spain
3657,1986,Graduation,39146.0,1,0,2013-02-14,1,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,0,Spain
5740,1970,2n Cycle,25959.0,1,1,2013-02-14,1,2,12,7,5,26,2,1,2,2,6,0,0,0,0,0,1,0,Spain
9595,1961,Graduation,64260.0,0,0,2013-01-11,1,169,816,20,0,30,1,4,5,4,3,0,0,0,0,0,1,0,Spain
3158,1973,Graduation,32300.0,1,0,2013-01-03,1,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,0,0,Spain
5114,1965,Master,74806.0,0,1,2012-12-19,1,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,Australia
340,1970,Graduation,72967.0,0,1,2012-12-15,1,35,179,0,0,125,2,7,2,8,5,1,0,0,0,0,1,0,Germany
8805,1960,Graduation,48904.0,0,1,2012-12-02,1,10,38,0,13,27,4,7,2,4,8,0,0,0,0,0,0,0,USA
1241,1984,2n Cycle,14796.0,1,0,2012-09-17,1,3,8,7,4,16,2,1,0,3,9,0,0,0,0,0,1,0,Germany
1402,1954,Master,66991.0,0,0,2012-09-11,1,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,Germany
7264,1978,2n Cycle,52195.0,2,1,2014-05-12,2,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,Saudi Arabia
1619,1956,Graduation,90369.0,0,0,2014-04-28,2,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,1,0,Spain
6398,1974,Basic,18393.0,1,0,2014-03-29,2,10,13,16,0,4,2,3,0,3,8,0,0,0,0,0,0,0,Spain
1857,1952,Graduation,47139.0,1,1,2014-03-06,2,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,1,0,Spain
4877,1973,Master,38576.0,0,1,2014-03-04,2,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,0,India
3066,1975,PhD,61905.0,0,1,2014-02-04,2,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,Saudi Arabia
10286,1962,Graduation,83715.0,0,0,2014-02-03,2,8,407,150,35,8,1,2,8,13,0,0,0,0,0,0,0,0,Saudi Arabia
1992,1964,Graduation,60597.0,0,1,2014-01-01,2,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,1,0,Spain
4246,1982,Master,6560.0,0,0,2013-12-12,2,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,0,0,Spain
10623,1961,Master,48330.0,0,1,2013-11-15,2,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,Spain
4867,1968,PhD,38236.0,1,1,2013-09-20,2,0,18,2,0,10,4,3,0,4,7,0,0,0,0,0,0,0,Spain
3112,1977,Master,22701.0,1,0,2013-09-05,2,4,9,0,4,5,1,1,0,3,5,0,0,0,0,0,0,0,Spain
4865,1974,Master,53367.0,1,1,2013-08-31,2,7,140,10,3,11,7,5,1,8,7,0,0,0,0,0,1,0,Australia
6287,1986,Graduation,34728.0,1,0,2013-07-30,2,0,16,0,0,6,1,1,1,2,6,0,0,0,0,0,1,0,Spain
4405,1956,Master,63915.0,0,2,2013-07-30,2,7,115,30,0,15,2,6,3,12,5,0,0,0,0,0,0,0,Australia
5332,1960,2n Cycle,82504.0,0,0,2013-07-27,2,50,431,134,35,54,1,3,6,7,1,0,0,0,0,0,0,0,India
1519,1972,PhD,38578.0,1,1,2013-06-22,2,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,1,0,Spain
9080,1972,PhD,38578.0,1,1,2013-06-22,2,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,0,Spain
1772,1975,PhD,79174.0,0,0,2013-01-11,2,37,518,193,92,129,1,5,6,7,2,0,0,1,1,0,1,0,Canada
5341,1962,2n Cycle,81975.0,0,1,2013-01-05,2,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,Saudi Arabia
5510,1977,Master,43263.0,0,1,2012-11-21,2,6,61,0,10,102,3,5,2,6,5,0,0,0,0,0,0,0,Spain
3887,1970,Graduation,27242.0,1,0,2012-11-11,2,17,26,20,1,39,2,2,0,3,9,0,0,0,0,0,1,0,India
7022,1971,Graduation,76445.0,1,0,2012-09-28,2,107,309,140,80,35,1,2,5,13,6,0,0,0,0,0,0,0,Saudi Arabia
9999,1965,Graduation,75276.0,0,0,2012-09-27,2,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,0,Spain
10352,1963,Graduation,34213.0,1,1,2012-09-07,2,4,28,6,3,26,3,3,1,2,9,0,0,0,0,0,1,0,Saudi Arabia
7919,1976,PhD,72335.0,0,0,2012-08-13,2,105,653,28,21,0,1,10,4,8,8,0,0,0,0,0,1,0,Spain
4114,1964,Master,79143.0,0,0,2012-08-11,2,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,Australia
7990,1947,Graduation,27469.0,0,0,2012-08-02,2,1,2,3,2,0,1,0,0,3,6,0,0,0,0,0,0,0,Canada
9888,1969,Graduation,68695.0,0,0,2014-06-25,3,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,Spain
4399,1969,Graduation,68695.0,0,0,2014-06-25,3,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,Canada
4452,1957,Graduation,50388.0,0,1,2014-05-28,3,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,1,0,Germany
4785,1970,PhD,77622.0,0,2,2014-04-14,3,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0,Saudi Arabia
8461,1962,Graduation,46102.0,2,1,2014-03-10,3,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,Spain
3878,1980,2n Cycle,31859.0,1,0,2014-02-27,3,4,7,15,8,11,1,1,0,3,7,0,0,0,0,0,0,0,Spain
9612,1987,2n Cycle,23830.0,0,0,2014-02-07,3,8,6,4,8,16,1,1,0,3,7,0,0,0,0,0,0,0,Spain
4098,1973,Graduation,24639.0,1,1,2014-01-28,3,3,16,0,4,1,3,2,0,4,6,0,0,0,0,0,0,0,Australia
158,1945,PhD,71604.0,0,0,2013-11-17,3,53,528,98,75,97,1,8,3,5,4,1,0,0,0,0,1,0,Spain
3896,1984,Graduation,27255.0,1,0,2013-11-07,3,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,Spain
9970,1977,Graduation,55375.0,0,1,2013-10-17,3,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,Canada
4002,1960,PhD,77037.0,0,1,2013-10-13,3,96,333,168,53,10,1,7,7,12,3,0,0,0,0,0,0,0,Spain
10914,1970,Graduation,24163.0,1,1,2013-10-12,3,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,0,0,Spain
7279,1969,PhD,69476.0,0,0,2013-09-30,3,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,USA
10582,1979,Graduation,72063.0,0,1,2013-07-03,3,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0,0,Germany
4470,1962,Master,58646.0,0,1,2013-06-10,3,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,Spain
6183,1962,Master,58646.0,0,1,2013-06-10,3,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,Germany
6379,1949,Master,47570.0,1,1,2013-05-29,3,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,1,0,USA
8601,1980,Graduation,80011.0,0,1,2013-04-29,3,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,Australia
4827,1956,PhD,54998.0,0,1,2013-03-10,3,22,202,39,30,8,5,4,2,9,4,0,0,0,0,0,1,0,Spain
6715,1948,PhD,60200.0,0,1,2013-01-02,3,19,132,0,6,26,6,6,2,11,6,0,0,0,0,0,0,0,Spain
10676,1982,Graduation,63211.0,0,0,2012-11-02,3,193,459,205,26,145,2,3,8,7,2,0,0,0,0,0,1,0,Spain
1041,1973,PhD,48432.0,0,1,2012-10-18,3,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,Saudi Arabia
492,1973,PhD,48432.0,0,1,2012-10-18,3,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,0,0,Canada
11133,1973,PhD,48432.0,0,1,2012-10-18,3,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,India
4491,1949,Master,62845.0,1,1,2012-10-01,3,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,0,0,Spain
873,1949,Master,62845.0,1,1,2012-10-01,3,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,1,0,Spain
1631,1965,PhD,65220.0,0,0,2012-09-03,3,63,292,0,25,12,4,8,4,7,6,0,0,0,0,0,1,0,Germany
8278,1990,PhD,74214.0,0,0,2012-08-26,3,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0,0,Spain
6815,1980,2n Cycle,96547.0,0,0,2014-05-23,4,21,125,52,101,62,0,7,6,8,2,1,0,1,1,0,1,0,Spain
254,1955,Graduation,53863.0,0,1,2014-05-17,4,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,Spain
1349,1970,Graduation,50447.0,2,0,2014-04-21,4,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,India
2534,1953,Graduation,37716.0,0,1,2014-04-21,4,1,41,6,2,41,2,4,1,3,7,0,0,0,0,0,0,0,Australia
2130,1982,Graduation,45203.0,2,0,2014-03-23,4,3,67,10,8,24,1,3,1,3,6,0,0,0,0,0,1,0,Saudi Arabia
2296,1975,Master,37368.0,1,0,2013-12-16,4,2,11,2,2,10,1,1,0,2,6,1,0,0,0,0,0,0,Spain
3799,1955,Graduation,67225.0,0,1,2013-11-26,4,35,322,46,7,143,3,7,2,11,5,0,0,0,0,0,0,0,USA
11084,1976,Master,65104.0,0,1,2013-11-14,4,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,1,0,Canada
5172,1976,Master,65104.0,0,1,2013-11-14,4,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0,Spain
9504,1949,Master,81698.0,0,0,2013-11-06,4,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,1,0,Spain
850,1968,Graduation,70566.0,0,1,2013-10-06,4,28,215,84,28,21,2,6,5,9,3,0,0,0,0,0,0,0,Spain
4477,1958,Graduation,69096.0,0,1,2013-09-27,4,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,Germany
1945,1962,Graduation,71434.0,0,1,2013-09-18,4,36,217,172,96,168,3,7,4,7,4,0,1,0,1,0,0,0,Spain
7685,1978,Graduation,33039.0,1,0,2013-09-09,4,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,Spain
6310,1978,Graduation,33039.0,1,0,2013-09-09,4,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,Canada
10832,1958,Graduation,46610.0,0,0,2013-07-18,4,10,30,4,10,125,1,6,1,6,6,0,0,0,0,0,0,0,Spain
3025,1958,Graduation,49967.0,0,1,2013-07-08,4,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,Canada
2404,1976,Graduation,53359.0,1,1,2013-05-27,4,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,USA
8581,1971,Master,49505.0,1,1,2013-03-05,4,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,0,Spain
8755,1946,Master,68657.0,0,0,2013-02-20,4,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,Australia
10177,1954,Graduation,72071.0,0,1,2013-02-14,4,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,Spain
2429,1954,Graduation,72071.0,0,1,2013-02-14,4,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,Canada
8920,1967,Master,59235.0,1,0,2013-01-12,4,40,469,80,0,91,3,11,2,12,7,0,0,0,0,0,0,0,India
8430,1957,Graduation,21994.0,0,1,2012-12-24,4,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,Australia
8619,1957,Graduation,21994.0,0,1,2012-12-24,4,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,Spain
8996,1957,PhD,0.0,2,1,2012-11-19,4,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,Germany
7233,1972,Graduation,69209.0,0,0,2012-09-17,4,32,849,229,48,128,2,5,3,6,4,0,0,0,1,0,0,0,Canada
6678,1989,Graduation,31928.0,1,0,2014-03-28,5,4,24,4,2,5,2,3,0,4,7,0,0,0,0,0,0,0,India
830,1987,PhD,74004.0,0,0,2014-02-24,5,48,560,42,176,48,1,4,6,4,3,0,0,1,1,0,1,0,India
6365,1987,2n Cycle,30390.0,0,0,2013-09-02,5,12,12,25,1,20,1,2,0,3,6,0,0,0,0,0,0,0,India
6770,1985,Graduation,21355.0,1,0,2013-08-20,5,13,14,0,5,31,2,2,1,2,6,1,0,0,0,0,1,0,USA
2261,1969,Graduation,26304.0,1,0,2013-06-23,5,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,Germany
1031,1989,2n Cycle,85710.0,0,0,2013-05-05,5,20,350,29,30,33,1,6,9,10,2,0,0,1,0,0,0,0,India
10089,1974,Graduation,102692.0,0,0,2013-04-05,5,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,1,0,Saudi Arabia
9256,1971,Graduation,58350.0,0,1,2013-01-04,5,26,206,116,80,80,4,8,3,12,6,0,0,0,0,0,0,0,Spain
10641,1978,Graduation,7500.0,1,1,2012-12-27,5,5,4,13,4,25,4,2,1,3,6,0,0,0,0,0,0,0,Spain
624,1984,Master,18890.0,0,0,2012-11-10,5,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,1,0,Saudi Arabia
4211,1986,Basic,20425.0,1,0,2012-10-29,5,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,Canada
1407,1986,Basic,20425.0,1,0,2012-10-29,5,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,Germany
10356,1957,PhD,41437.0,1,1,2012-09-22,5,0,2,0,0,1,1,1,0,3,7,0,0,0,0,0,0,0,Spain
