page,visits,conversions
page 1,1000,50
page 2,1200,60
page 3,800,40
page 4,1500,75
page 5,900,45
page 6,1100,55
page 7,1300,65
page 8,950,47
page 9,1150,58
page 10,1050,53
page 11,1400,70
page 12,850,42
page 13,1100,55
page 14,1000,50
page 15,1200,60
page 16,1300,65
page 17,1000,50
page 18,800,40
page 19,1200,60
page 20,1500,75
page 21,950,47
page 22,1150,57
page 23,1050,53
page 24,1400,68
page 25,900,48
page 26,1100,58
page 27,1300,63
page 28,950,45
page 29,1150,57
page 30,1050,52
page 31,1400,69
page 32,850,43
page 33,1100,56
page 34,1000,50
page 35,1200,60
page 36,1300,65
page 37,1000,50
page 38,800,40
page 39,1200,60
page 40,1500,75
page 41,950,47
page 42,1150,57
page 43,1050,53
page 44,1400,68
page 45,900,48
page 46,1100,58
page 47,1300,63
page 48,950,45
page 49,1150,57
page 50,1050,52
